Date,Time,Username,Message,Sentiment,Time from Start
2023-01-02,09:12:06,Narkosys,yay,5,0
2023-01-02,09:12:14,Narkosys,lessa go,5,0
2023-01-02,09:12:18,nathan_bainbridge,Hifam,5,0
2023-01-02,09:12:28,0stress97,morning LuvSign,5,0
2023-01-02,09:12:39,nathan_bainbridge,DaddyGo,8,0
2023-01-02,09:12:40,maximuslighter,Salute,5,0
2023-01-02,09:12:42,batmaanx,Salute,5,0
2023-01-02,09:12:45,0stress97,Kreygasm,5,0
2023-01-02,09:12:49,lex1979,Morning,5,0
2023-01-02,09:12:50,0stress97,outpla2Parrotdance outpla2Parrotdance outpla2Parrotdance outpla2Parrotdance,5,0
2023-01-02,09:12:56,gustavkasselstrand,peg88Hi,5,0
2023-01-02,09:13:02,Joust182,Pog,5,0
2023-01-02,09:13:10,Supazta78,Greetings and Salutations!,5,1
2023-01-02,09:13:19,maximuslighter,bank holiday printing POLICE,7,1
2023-01-02,09:13:28,Joust182,holidays are over,5,1
2023-01-02,09:13:32,rei_webdev,is sebbe or did the bros came back,5,1
2023-01-02,09:13:36,Joust182,no more happy anything,5,1
2023-01-02,09:13:38,maximuslighter,its a holiday here still,5,1
2023-01-02,09:14:01,Joust182,nothing merry nothing happy just the way i like it,5,1
2023-01-02,09:14:08,FudgyDocker,@maximuslighter In theory,5,2
2023-01-02,09:14:08,gamerguvner,Kreygasm Kreygasm,8,2
2023-01-02,09:14:16,maximuslighter,im not till tomorrow,5,2
2023-01-02,09:14:51,maximuslighter,ogge or masse? Hmm,5,2
2023-01-02,09:15:01,maximuslighter,looks like a masse title,5,2
2023-01-02,09:15:21,maximuslighter,YEP,5,3
2023-01-02,09:15:23,Millenial85,!giveaway,5,3
2023-01-02,09:15:24,Trollkarlen1337,MasseKing,5,3
2023-01-02,09:15:27,nathan_bainbridge,Ante,5,3
2023-01-02,09:15:29,maximuslighter,Salute masse,5,3
2023-01-02,09:15:32,all_stars_94,gm,5,3
2023-01-02,09:15:32,maskinenfrej,Wadddupppppp masseeeeeee,5,3
2023-01-02,09:15:35,Hluchodedek,holla ante,5,3
2023-01-02,09:15:35,rei_webdev,masse king,5,3
2023-01-02,09:15:35,Zyvera,Wtf? Early morning monday Ante?,5,3
2023-01-02,09:15:37,0stress97,WutFace WutFace,5,3
2023-01-02,09:15:38,maximuslighter,or is it ante KEKW,5,3
2023-01-02,09:15:39,mikka172,Anteman,5,3
2023-01-02,09:15:41,maximuslighter,i cant tell,7,3
2023-01-02,09:15:43,Trollkarlen1337,where da fak is ogge,1,3
2023-01-02,09:15:46,maximuslighter,ok ante,5,3
2023-01-02,09:15:49,oredacort,gl today :D,1,3
2023-01-02,09:15:50,Zyvera,Do I have to reprep yet.,5,3
2023-01-02,09:15:50,maskinenfrej,Wtf haha ante,7,3
2023-01-02,09:15:51,copied_nothing,Happy new year chat and Ante! Wish u best of luck today! :D have a great stream!,5,3
2023-01-02,09:15:51,lex1979,King ANTE,5,3
2023-01-02,09:15:51,RoyalStrength0327,naey ante,7,3
2023-01-02,09:16:04,0stress97,@zyvera nah...its fake Ante Kappa,7,3
2023-01-02,09:16:08,Qajjan,Inte Ante n��,7,4
2023-01-02,09:16:21,maximuslighter,hungover ? YEP,8,4
2023-01-02,09:16:23,rei_webdev,naey ante,7,4
2023-01-02,09:16:24,Joust182,are you lucky in love?,7,4
2023-01-02,09:16:25,epa_sebbe,Ok put the timer on guys,7,4
2023-01-02,09:16:28,bagsi1,Happy new year all,7,4
2023-01-02,09:16:35,maximuslighter,LUL,8,4
2023-01-02,09:16:36,Qajjan,Oh,7,4
2023-01-02,09:16:37,gallobald,hi young sebbe,7,4
2023-01-02,09:16:37,banicad,radio stream?,7,4
2023-01-02,09:16:41,ilove810,wow,7,4
2023-01-02,09:16:44,Raiyvin,Ogge still celebrating being POTY,8,4
2023-01-02,09:16:49,smashemall_,Good morning let's print,5,4
2023-01-02,09:16:53,smashemall_,??,5,4
2023-01-02,09:16:55,masterbulka,#fireOgge,5,4
2023-01-02,09:16:55,Joust182,you sound like ante,7,4
2023-01-02,09:17:10,topanddome,roty radio,7,5
2023-01-02,09:17:10,nomoreraptor,WTF ANTE,5,5
2023-01-02,09:17:12,nomoreraptor,!vote,5,5
2023-01-02,09:17:12,mumbojumbooooo,KEKW what is this intro,8,5
2023-01-02,09:17:30,kopfsalat31,??????,5,5
2023-01-02,09:17:35,wendydenise,my fave song this year yes,7,5
2023-01-02,09:17:38,copied_nothing,u can tell its Ante by the singing voice :D,8,5
2023-01-02,09:17:47,mikka172,Fire Ogge for unexcused absence Ante,8,5
2023-01-02,09:17:48,nomoreraptor,!recent,5,5
2023-01-02,09:17:50,mikehh2,Hello and happy new year,8,5
2023-01-02,09:17:51,nomoreraptor,aaye l�gg av,7,5
2023-01-02,09:17:53,0stress97,LUL LUL LUL,7,5
2023-01-02,09:17:54,smashemall_,what's this casino daddy greatest hits,7,5
2023-01-02,09:17:57,hornquist,KEKW,7,5
2023-01-02,09:18:03,gallobald,poor desk,3,5
2023-01-02,09:18:05,Trollkarlen1337,peepoSlam,8,5
2023-01-02,09:18:06,Pro1MasteR420,!first,7,6
2023-01-02,09:18:07,SonOfSneaky,casino121PepeLove casino121PepeLove casino121PepeLove casino121PepeLove casino121PepeLove,1,6
2023-01-02,09:18:08,HerrMartin,emiliaHYPER,6,6
2023-01-02,09:18:16,smashemall_,?? is out,7,6
2023-01-02,09:18:17,maximuslighter,a few,6,6
2023-01-02,09:18:18,Timo4650,Sebbe already printed in 2023 Pog,5,6
2023-01-02,09:18:19,mumbojumbooooo,"ante, do a ""I mean, I mean I mean yeah I mean I don't know""",7,6
2023-01-02,09:18:25,Teabing90,first win  max win of 2023 today?,7,6
2023-01-02,09:18:26,Wizodin2,good morning and happy New year good luck,6,6
2023-01-02,09:18:32,ilove810,everytime i tried to redeam from store item is on cooldown lol,5,6
2023-01-02,09:18:32,0stress97,Kreygasm,8,6
2023-01-02,09:18:35,SonOfSneaky,Happy new year Ante,9,6
2023-01-02,09:18:41,kopfsalat31,Lovely Boy ??,2,6
2023-01-02,09:18:46,0stress97,happy new year,5,6
2023-01-02,09:18:49,Gelligan,sup sebbe,3,6
2023-01-02,09:18:51,masterbulka,hello Lidl Sebbe  KEKW,3,6
2023-01-02,09:18:52,Hluchodedek,hi sebbe,2,6
2023-01-02,09:19:01,trumpetguy_1,hello sebbe,5,6
2023-01-02,09:19:08,medicinmann,good morning ante  happy new year 2023  for you an cassinodaddy,3,7
2023-01-02,09:19:08,gustavkasselstrand,Tjenare Antemannen!,9,7
2023-01-02,09:19:11,rei_webdev,happy 2023 ante,5,7
2023-01-02,09:19:12,smashemall_,I was asleep by 7,5,7
2023-01-02,09:19:21,killichesco2308,Happy New year Anteeeeeeee :-),2,7
2023-01-02,09:19:47,noallennoparty1,!potm,6,7
2023-01-02,09:19:54,SonOfSneaky,[Mención directa al streamer] Can we bet on if Masse will hit Max win in 2023? LUL LUL casino121LULSPIN casino121LULSPIN,4,7
2023-01-02,09:20:00,Teabing90,"fucking ""planeringsdag""",6,7
2023-01-02,09:20:04,Gelligan,to spread super diseases,8,7
2023-01-02,09:20:06,copied_nothing,planeringsdag,3,8
2023-01-02,09:20:15,killichesco2308,Thanks Bro,1,8
2023-01-02,09:20:18,gustavkasselstrand,so today the plan is printing,6,8
2023-01-02,09:20:19,LiV3Mic3,ante! i thought for sure it was goin to be ebro so he can say he's streamed more than anyone the whole year,5,8
2023-01-02,09:20:25,cheeser89,Happy new year ante,2,8
2023-01-02,09:20:31,racinerobin,Happy new year.,2,8
2023-01-02,09:20:38,copied_nothing,hmm,5,8
2023-01-02,09:20:39,chippomatte855,wassssup legend? happy new year,6,8
2023-01-02,09:20:40,SonofOak,LUL,7,8
2023-01-02,09:20:45,trumpetguy_1,EZ,6,8
2023-01-02,09:20:46,Fiskaaarn,!poty,2,8
2023-01-02,09:20:46,markosthegreek2000,good morning and a happy new year good luck,5,8
2023-01-02,09:20:48,gustavkasselstrand,ante for poty 2022,5,8
2023-01-02,09:20:48,arnhem_kopite,Happy new year everyone!!!!,2,8
2023-01-02,09:20:58,chippomatte855,going to the gym soon,4,8
2023-01-02,09:21:00,ilove810,is there any live chat of channel?,2,8
2023-01-02,09:21:05,FudgyDocker,@sonofsneaky That means that they won't be able to run betting comps for the rest of the year,2,8
2023-01-02,09:21:10,Gelligan,!potm,7,9
2023-01-02,09:21:11,markosthegreek2000,!points,5,9
2023-01-02,09:21:13,Zyvera,Sebbe is really good.,5,9
2023-01-02,09:21:16,SonofOak,Yeah Sebbes streams was really really nice!,5,9
2023-01-02,09:21:26,medicinmann,he was an fighter,6,9
2023-01-02,09:21:30,iamRichard,Sebbe giga,5,9
2023-01-02,09:21:38,chippomatte855,yes since im of 1 week more sebbe did ood,5,9
2023-01-02,09:21:40,Gelligan,is this sebbe or ante?,7,9
2023-01-02,09:21:41,chippomatte855,good,2,9
2023-01-02,09:21:43,Gelligan,i cant tell,6,9
2023-01-02,09:21:44,LiV3Mic3,sebbe is doing great with his stream manager training,7,9
2023-01-02,09:21:51,TheKaboose,I won 700x on celocatra last night was so happy then the wife was playing one of her casinos and won 1400x on something...safe to say slightly jealous,5,9
2023-01-02,09:21:52,SonOfSneaky,Ante you need to fix it so we can have a one year bet on if Masse will hit a max win in 2023?,8,9
2023-01-02,09:21:55,kain0ki,wait did u hit bonus on second spin?,7,9
2023-01-02,09:22:02,Nieemi,GM GM <3,8,9
2023-01-02,09:22:04,Nieemi,Salute AnteKing,7,9
2023-01-02,09:22:06,chippomatte855,sebbe was good,5,10
2023-01-02,09:22:08,Nieemi,Happy New year,2,10
2023-01-02,09:22:33,medicinmann,you must see his face at beginning and the last hour its anmasing,5,10
2023-01-02,09:22:44,iamRichard,hope we get to see him again soon,5,10
2023-01-02,09:22:59,medicinmann,check it,7,10
2023-01-02,09:23:03,hL1892,how we doing ante? :D,7,10
2023-01-02,09:23:06,LiV3Mic3,the whole stream was a highlight,7,11
2023-01-02,09:23:08,Robin2587,!recent,5,11
2023-01-02,09:23:10,cr0_c0p,Hifam,7,11
2023-01-02,09:23:11,FudgyDocker,Sebbe is the current POTM Kappa,5,11
2023-01-02,09:23:15,Gelligan,!potm,2,11
2023-01-02,09:23:21,mashymarcus,!potm,2,11
2023-01-02,09:23:25,SonofOak,The bonus opening was insane,1,11
2023-01-02,09:23:35,medicinmann,from an overflyer too an old man,1,11
2023-01-02,09:23:36,SonofOak,Even had 9k on the black lagoon which was insane,5,11
2023-01-02,09:23:37,gustavkasselstrand,!schedule,7,11
2023-01-02,09:23:38,tdjd55,oh look sebbes clone,6,11
2023-01-02,09:23:39,SonOfSneaky,Ante and you had 5 max wins in 2022... Masse must be a kind of disapointed,7,11
2023-01-02,09:23:42,chippomatte855,Big roty 2022 masse,7,11
2023-01-02,09:23:46,cr0_c0p,@tdjd55 ^^,5,11
2023-01-02,09:23:49,mashymarcus,so where are Ogge and Masse they are supposed to be here,7,11
2023-01-02,09:23:59,hL1892,Same been a bit sl� after ny�r LUL,8,11
2023-01-02,09:23:59,gustavkasselstrand,who is filling up for u later?,2,11
2023-01-02,09:24:03,mashymarcus,the schedule says both,6,11
2023-01-02,09:24:14,cr0_c0p,The creature of the black laggon printed too LUL can u believe KEKW,7,12
2023-01-02,09:24:16,LiV3Mic3,he's managing the stream from home today,8,12
2023-01-02,09:24:20,SonofOak,@sonofsneaky Nice name btw! LUL,8,12
2023-01-02,09:24:37,Degenerate_NL,Happy new year Sebbe LUL  Do you know when the bros gonna stream again ???,6,12
2023-01-02,09:24:44,hL1892,En o annnannnnn,5,12
2023-01-02,09:24:53,chippomatte855,no much fireworks here at least it was perfekt,5,12
2023-01-02,09:25:07,Degenerate_NL,Tell Masse fireworks are for kids,5,13
2023-01-02,09:25:24,LiV3Mic3,16 shot cakes are the best fireworks,6,13
2023-01-02,09:25:27,Gelligan,zzzzzzz indeed,8,13
2023-01-02,09:25:39,SonOfSneaky,@SonofOak the name is from another channel where im a mod and a editor,6,13
2023-01-02,09:25:41,hL1892,Masse with the loud j�vla airbombs,7,13
2023-01-02,09:25:44,chippomatte855,in a grown body he is,8,13
2023-01-02,09:26:09,kain0ki,@Degenerate_NL for kids or not for kids fireworks are still cool,7,14
2023-01-02,09:26:22,Gelligan,diddnt gretta ban fireworks in sweden?,5,14
2023-01-02,09:26:23,gustavkasselstrand,Im gonna go and panta at willys now,8,14
2023-01-02,09:26:28,SonofOak,"@SonofOak Ahh okey! Well you are the first ""sonof"" ive seen so thats nice! :D",5,14
2023-01-02,09:26:36,Degenerate_NL,@kain0ki agree to disagree obv.,8,14
2023-01-02,09:26:50,kain0ki,ye google nuclear missle firework,7,14
2023-01-02,09:26:57,vastdk,"that ""Schedule"" command is useless tbh. It links to the website but not a schedule, Ante.",6,14
2023-01-02,09:27:02,hL1892,degen t�rtor,5,14
2023-01-02,09:27:04,Lexadoodle,Happy new year Ante & chat ^.^,7,14
2023-01-02,09:27:08,Nieemi,!schedule,7,15
2023-01-02,09:27:15,chippomatte855,kinapuffar was nice,8,15
2023-01-02,09:27:16,Nieemi,@vastdk you have the schedule on the first pasge,7,15
2023-01-02,09:27:17,Nieemi,page,7,15
2023-01-02,09:27:20,frecklenaylor,Have you had super bonus here yet Ante ?,8,15
2023-01-02,09:27:23,SonOfSneaky,@SonofOak we are not the only sonof,5,15
2023-01-02,09:27:30,vastdk,@Nieemi hmm,8,15
2023-01-02,09:27:43,LiV3Mic3,masses wasted the goonies monies on children's fireworks,8,15
2023-01-02,09:27:44,RhumJungle,Hi Anton Von Rotyweiler HeyGuys good luck printing today,5,15
2023-01-02,09:27:47,Angel_Probably,Omg hey sexig boy,7,15
2023-01-02,09:27:49,Nieemi,@vastdk Try again and you will see KEKW :D,8,15
2023-01-02,09:27:49,FudgyDocker,Sebbe isn't quite a real CD streamer yet. He made 2 bullets last for 2 whole days. Unheard of in recent times.,8,15
2023-01-02,09:28:19,chippomatte855,kinapuffar was goood,8,16
2023-01-02,09:28:20,alinush_78,@rhumjungle ????????,8,16
2023-01-02,09:28:24,hL1892,Straight from Polen Hahaha,5,16
2023-01-02,09:28:27,RhumJungle,like a handgrenade,8,16
2023-01-02,09:28:32,gustavkasselstrand,always in a soptunna aswell,5,16
2023-01-02,09:28:38,Liecham,Those plus frogs = fun times,2,16
2023-01-02,09:28:39,vastdk,@Nieemi hmm I might need to clear some cookies or something.,6,16
2023-01-02,09:29:10,LiV3Mic3,!store,8,17
2023-01-02,09:29:45,Nieemi,@vastdk Yeah,5,17
2023-01-02,09:29:52,chippomatte855,kinapuffar was good ante,2,17
2023-01-02,09:30:14,vastdk,@Nieemi there we go! I had nothing showing up,5,18
2023-01-02,09:30:22,Nieemi,@vastdk KEKW Good CLAP CLAP,3,18
2023-01-02,09:30:22,gustavkasselstrand,how about tomtebloss? KEKW,5,18
2023-01-02,09:30:27,Supazta78,who kills frogs with fireworks??? psycho!,6,18
2023-01-02,09:30:28,GodsRightNut_,So ogge called in today,5,18
2023-01-02,09:30:30,kain0ki,!points,5,18
2023-01-02,09:30:30,cr0_c0p,these are degen,7,18
2023-01-02,09:30:36,hL1892,straight out of WW2 LUL,5,18
2023-01-02,09:30:41,Supazta78,check that guys hard drive!,7,18
2023-01-02,09:30:45,chippomatte855,we fired in brevl�da to ante :D,5,18
2023-01-02,09:30:47,sarahdurling12,hey ante,5,18
2023-01-02,09:30:55,cr0_c0p,@Supazta78 :x,3,18
2023-01-02,09:31:00,SonOfSneaky,Ante its bindgarn around them and they are insane loud,5,18
2023-01-02,09:31:07,magnuszo,lost �2300 in 3 hours,3,19
2023-01-02,09:31:13,kain0ki,!points,6,19
2023-01-02,09:31:13,Vittnet,Remember Ryssar?,4,19
2023-01-02,09:31:36,Zyvera,You say that like that's 'abnormal' Kappa,2,19
2023-01-02,09:31:37,f_u_n_k_,happy new year,6,19
2023-01-02,09:31:39,beppone8,!points,5,19
2023-01-02,09:31:39,RhumJungle,he was ripping moderatly Kappa,5,19
2023-01-02,09:31:41,Zyvera,That's how it's supposed to be.,4,19
2023-01-02,09:31:44,hugojohansson14,Was 13 k (sek) back this week,3,19
2023-01-02,09:31:45,hL1892,I was in �spet for NYE should've done Ogges postl�da LUL,2,19
2023-01-02,09:31:52,cr0_c0p,@hugojohansson14 Clap,8,19
